herkomst,doel,e-nummer,naam,opmerkingen,kleur,soort
"Diverse planten, oa de eik",Geelwit tot bruin poeder,E181,Looizuur,,ROOD,Kleurstoffen
,,E182,"Orchil, orceine (lakmoes)",,ROOD,Kleurstoffen
Lijsterbes,Conserveermiddel tegen schimmels en gisten,E200,Sorbinezuur,Kan huidirritatie veroorzaken.,ROOD,Conserveermiddelen / Voedingszuren
Lijsterbes,Conserveermiddel,E201,Natriumsorbaat,Vergelijkbaar met E200,ROOD,Conserveermiddelen / Voedingszuren
Lijsterbes,Conserveermiddel,E202,Kaliumsorbaat,Vergelijkbaar met E200,ROOD,Conserveermiddelen / Voedingszuren
Lijsterbes,Conserveermiddel,E203,Calcium sorbaat,Vergelijkbaar met E200,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen schimmels en bacteriën,E210,Benzoezuur,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen gisten en bacteriën,E211,Natriumbenzoaat,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen gisten en bacteriën,E212,Kaliumbenzoaat,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen gisten en bacteriën,E213,Calciumbenzoaat,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,"Conserveermiddel tegen gisten, schimmels, bacteriën",E214,Ethyl 4-hydroxibenzoaat,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,"Conserveermiddel tegen gisten, schimmels, bacteriën",E215,Ethyl 4-hydroxibenzoaat natriumzout,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,"Conserveermiddel tegen gisten, schimmels, bacteriën",E216,Propyl 4-hydroxibenzoaat,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,"Conserveermiddel tegen gisten, schimmels, bacteriën",E217,Propyl 4-hydroxibenzoaat natriumzout,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen gisten en schimmels,E218,Methyl 4-hydroxibenzoaat,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen gisten en schimmels,E219,Methyl 4-hydroxibenzoaat natriumzout,,ROOD,Conserveermiddelen / Voedingszuren
Natuurlijk voorkomend gas,"Conserveermiddel, bleekmiddel, deegverbeteraar",E220,Zwaveldioxide,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,"Tegen micro-organismen, Antioxidant, deegverbeteren",E221,Natriumsulfiet,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,"Conserveermiddel, Antioxidant, bleekmiddel",E222,Natriumbisulfiet,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,"Conserveermiddel, Antioxidant, bleekmiddel",E223,Natriummetabisulfiet,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen micro-organismen,E224,Kaliummetabisulfiet,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel,E225,Kaliumsulfiet,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel,E226,Calciumsulfiet,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel,E227,Calciumbisulfiet,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen micro-organismen,E228,Kaliumbisulfiet,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen schimmels,E230,Biphenyl,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen schimmels en bacteriën,E231,2-Hydroxibiphenyl,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen schimmels,E232,Natrium-ortho-fenylfenolaat,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen schimmels,E233,Thiabendazol,,ROOD,Conserveermiddelen / Voedingszuren
Geproduceerd door Lactococcus lactis,Conserveermiddel tegen schimmels en bacteriën,E234,Nisine,,ORANJE,Conserveermiddelen / Voedingszuren
Geproduceerd door de schimmel Streptomyces,"Conserveermiddel, vooral tegen schimmels",E235,Pimaricine,,ROOD,Conserveermiddelen / Voedingszuren
Natuurlijk voorkomend,"Conserveermiddel tegen bacteriën, smaakversterker",E236,Mierenzuur,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen bacteriën,E237,Natriumformiaat,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen bacteriën,E238,Calciumformiaat,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen schimmels,E239,Hexamine,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Ontsmettingsmiddel tegen bacteriën,E240,Formaldehyde,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Steriliseren van koude frisdranken,E242,Dimethyldicarbonaat,,ROOD,Conserveermiddelen / Voedingszuren
Natuurlijk,"Tegen botulisme, voorkomt bruinkleuring van vlees",E249,Kaliumnitriet,,ROOD,Conserveermiddelen / Voedingszuren
Natuurlijk,"Tegen botulisme, voorkomt bruinkleuring van vlees",E250,Natriumnitriet,,ROOD,Conserveermiddelen / Voedingszuren
Natuurlijk,"Tegen bacteriën, voorkomt bruinkleuring van vlees",E251,Natriumnitraat,,ROOD,Conserveermiddelen / Voedingszuren
Natuurlijk,"Tegen botulisme, voorkomt bruinkleuring van vlees",E252,Kaliumnitraat,,ROOD,Conserveermiddelen / Voedingszuren
Natuurlijk,"Tegen bacteriën, smaakstof",E260,Azijnzuur,,ORANJE,Conserveermiddelen / Voedingszuren
Synthetisch,Voorkomt verkleuring van voedingswaren,E261,Natriumacetaat,,ORANJE,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen schimmels en bacteriën,E262,Natriumdiacetaat,,ORANJE,Conserveermiddelen / Voedingszuren
Synthetisch,"Conserveermiddel tegen bacteriën, stabilisator",E263,Calciumacetaat,,GROEN,Conserveermiddelen / Voedingszuren
Synthetisch,"Conserveermiddel tegen bacteriën, stabilisator",E264,Ammoniumacetaat,,ROOD,Conserveermiddelen / Voedingszuren
Natuurlijk,"Conserveermiddel tegen gisten, smaakstof",E270,Melkzuur,,ORANJE,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen enkele soorten schimmels,E280,Propionzuur,,ORANJE,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen 3 soorten schimmels,E281,Natrium propionaat,,ORANJE,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen 3 soorten schimmels,E282,Calcium propionaat,,ORANJE,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel tegen schimmels,E283,Kalium propionaat,,ORANJE,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel,E284,Boorzuur,,ROOD,Conserveermiddelen / Voedingszuren
Synthetisch,Conserveermiddel,E285,Natriumtetraboraat,,ROOD,Conserveermiddelen / Voedingszuren
Natuurlijk voorkomend gas,"Conserveermiddel, koelmiddel, “prik” in limonade",E290,Koolzuurgas,,GROEN,Conserveermiddelen / Voedingszuren
Synthetisch/natuurlijk,Voedingszuur,E296,Appelzuur,Kan GM zijn,GROEN,Conserveermiddelen / Voedingszuren
Synthetisch,Voedingszuur,E297,Fumaarzuur,,GROEN,Conserveermiddelen / Voedingszuren
Natuurlijk voorkomend,"Vitamine, Antioxidant, voorkomt bruinkleuring",E300,Ascorbinezuur,,GROEN,Antioxidanten
Synthetisch uit ascorbinezuur en keukenzout,"Vitamine, Antioxidant, voorkomt bruinkleuring",E301,Natriumascorbaat,,GROEN,Antioxidanten
Synthetisch uit ascorbinezuur en calcium,"Antioxidant, stabilisator en als vitamine C",E302,Calciumascorbaat,,GROEN,Antioxidanten
Synthetisch,Antioxidant tegen het ranzig worden van vetten,E304,Ascorbyl-palmitaat,,GROEN,Antioxidanten
Natuurlijk,Vitamine en Antioxidant,E306,Tocoferol-extracten,,GROEN,Antioxidanten
Natuurlijk of synthetisch,Vitamine en Antioxidant,E307,alpha-tocopherol,,GROEN,Antioxidanten
Natuurlijk of synthetisch,Vitamine en Antioxidant,E308,gamma-tocopherol,,GROEN,Antioxidanten
Natuurlijk of synthetisch,Vitamine en Antioxidant,E309,delta-tocopherol,,GROEN,Antioxidanten
Synthetisch,Antioxidant,E310,Propylgallaat,,ROOD,Antioxidanten
Synthetisch,Antioxidant,E311,Octylgallaat,,ROOD,Antioxidanten
Synthetisch,Antioxidant,E312,Dodecylgallaat,,ROOD,Antioxidanten
Synthetisch,Antioxidant,E315,Erythorbinezuur,Synthetische vitamine C met slechts 1/20 van de werkzaamheid,ORANJE,Antioxidanten
Synthetisch,Antioxidant,E316,Natriumerythorbaat,Synthetische vitamine C met slechts 1/20 van de werkzaamheid,ORANJE,Antioxidanten
Synthetisch,Antioxidant,E319,Butylhydrochinon,Toegepast in in oliën en vetten.,ORANJE,Antioxidanten
Synthetisch,Antioxidant,E320,BHA – Butylhydroxianisool,,ROOD,Antioxidanten
Synthetisch,Antioxidant,E321,BHT – Butylhydroxitolueen,Hormoonverstorende effecten vastgesteld.,ROOD,Antioxidanten
Natuurlijk,"Antioxidant, emulgator of anti-schuimmiddel",E322,Lecithine,Wordt vaak uit soja gewonnen dmv hexaan,GROEN,Antioxidanten
Synthetisch,Vochtbinder,E325,Natriumlactaat,,ORANJE,Antioxidanten
Synthetisch,Zout van melkzuur,E326,Kaliumlactaat,,ORANJE,Antioxidanten
Synthetisch,Zout van melkzuur,E327,Calciumlactaat,,ORANJE,Antioxidanten
,Natuurlijk zuur,E330,Citroenzuur,,GROEN,Antioxidanten
,Semi-synthetisch zout van citroenzuur (E330),E331a,Natriumwatrestofcitraat,,GROEN,Antioxidanten
,Semi-synthetisch zout van citroenzuur (E330),E331b,Dinatriumcitraat,,GROEN,Antioxidanten
,Semi-synthetisch zout van citroenzuur (E330),E331c,Trinatriumcitraat,,GROEN,Antioxidanten
,Semi-synthetisch zout van citroenzuur (E330),E332a,Kaliumdiwaterstofcitraat,,ORANJE,Antioxidanten
,Semi-synthetisch zout van citroenzuur (E330),E332b,Trikaliumcitraat,,ORANJE,Antioxidanten
,Semi-synthetisch zout van citroenzuur (E330),E333a,Calciumwaterstofcitraat,,ORANJE,Antioxidanten
,Semi-synthetisch zout van citroenzuur (E330),E333b,Di-calciumcitraat,,ORANJE,Antioxidanten
,Semi-synthetisch zout van citroenzuur (E330),E333c,Calciumcitraat,,ORANJE,Antioxidanten
,Natuurlijk zuur,E334,Wijnsteenzuur,,GROEN,Antioxidanten
,Semi-synthetisch zout van wijnsteenzuur (E334),E335a,Natriumwaterstoftartraat,,GROEN,Antioxidanten
,Semi-synthetisch zout van wijnsteenzuur (E334),E335b,Dinatriumtartraat,,GROEN,Antioxidanten
,Semi-synthetisch zout van wijnsteenzuur (E334),E336a,Kaliumwaterstoftartraat,,GROEN,Antioxidanten
,Semi-synthetisch zout van wijnsteenzuur (E334),E336b,Kaliumtartraat,,GROEN,Antioxidanten
,Semi-synthetisch zout van wijnsteenzuur (E334),E337,Natriumkaliumtartraat,,GROEN,Antioxidanten
,"Natuurlijk zuur, synthetisch bereid",E338,Fosforzuur,,ORANJE,Antioxidanten
,Zout van fosforzuur (E338),E339a,Natriumdiwaterstoffosfaat,,ORANJE,Antioxidanten
,Zout van fosforzuur (E338),E339b,Dinatriumwaterstoffosfaat,,ORANJE,Antioxidanten
,Zout van fosforzuur (E338),E339c,Trinatriumfosfaat,,ORANJE,Antioxidanten
,Zout van fosforzuur (E338),E340a,Kaliumdiwaterstoffosfaat,,ORANJE,Antioxidanten
,Zout van fosforzuur (E338),E340b,Dikaliumwaterstoffosfaat,,ORANJE,Antioxidanten
,Zout van fosforzuur (E338),E340c,Trikaliumfosfaat,,ORANJE,Antioxidanten
,Zout van fosforzuur (E338),E341a,Monocalciumfosfaat,,ORANJE,Antioxidanten
,Zout van fosforzuur (E338),E341b,Calciumwaterstoffosfaat,,ORANJE,Antioxidanten
,Zout van fosforzuur (E338),E341c,Tricalciumdifosfaat,,ORANJE,Antioxidanten
,Zout van fosforzuur (E338),E343,Magnesiumfosfaat,,ORANJE,Antioxidanten
,Zout van appelzuur,E350,Natriummalaat en natriumwaterstofmalaat,,GROEN,Antioxidanten
,Zout van appelzuur,E351,Kaliummalaat en Kaliumwaterstofmalaat,,GROEN,Antioxidanten
,Zout van appelzuur,E352,Calciummalaat en Calciumwaterstofmalaat,,GROEN,Antioxidanten
,Natuurlijk zuur,E353,Metawijnsteenzuur,,GROEN,Antioxidanten
,Zout van wijnsteenzuur (E334),E354,Calciumtartraat,,GROEN,Antioxidanten
,Natuurlijk zuur,E355,Adipinezuur,,GROEN,Antioxidanten
,Natuurlijk zuur,E363,Barnsteenzuur,,ORANJE,Antioxidanten
,Synthetisch zuur,E370,"1,4-Heptonolacton",,ORANJE,Antioxidanten
,Semi-synthetisch zout van citroenzuur (E330),E380,Triammoniumcitraat,,ROOD,Antioxidanten
,Synthetisch zout van citroenzuur (E330),E381,Ammoniumijzercitraat,,ROOD,Antioxidanten
,synthetisch zout,E385,Calcium EDTA,,ROOD,Antioxidanten
,Verdikkingsmiddel,E400,Alginezuur,,GROEN,Emulgatoren
,Zout van Alginezuur (E400),E401,Natriumalginaat,,GROEN,Emulgatoren
,Zout van Alginezuur (E400),E402,Kaliumalginaat,,GROEN,Emulgatoren
,Zout van Alginezuur (E400),E403,Ammoniumalginaat,,GROEN,Emulgatoren
,Zout van Alginezuur (E400),E404,Calciumalginaat,,GROEN,Emulgatoren
,Ester van Alginezuur (E400),E405,Propyleenglycolalginaat,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E406,Agar-Agar,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E407,Carrageen,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E408,Furcelleran,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E410,Johannesbroodpitmeel,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E412,Gurapitmeel,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E413,Tragacanth,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E414,Arabische Gom,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E415,Xanthaangom,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E416,Karayagom,,ORANJE,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E417,Taragom,,GROEN,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E418,Gellangom,,ORANJE,Emulgatoren
,Natuurlijke suikeralcohol,E420,Sorbitol,,ORANJE,Emulgatoren
,Natuurlijke suikeralcohol,E421,Mannitol,,ROOD,Emulgatoren
,Natuurlijk alcohol,E422,Glycerol,,ORANJE,Emulgatoren
Vetzuren,Synthetische emulgator,E430,Polyoxyethyleen(8)stearaat,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgator,E431,Polyoxyethyleen(40)stearaat,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgator,E432,Tween 20,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgator,E433,Polysorbaat 80,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgator,E434,Tween 40,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgator,E435,Tween 60,,ROOD,Emulgatoren
Vetzuren,Synthetische emulgator,E436,Tween 65,,ROOD,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E440a,Pectine,,GROEN,Emulgatoren
Synthetisch,Bereid uit pectine,E440b,Geamineerde pectine,,GROEN,Emulgatoren
Natuurlijk,Verdikkingsmiddel,E441,Gelatine,,ROOD,Emulgatoren
Synthetisch,Synthetische emulgatoren,E442,Ammoniumfosfatiden,,ORANJE,Emulgatoren
Synthetisch,Stabilisator,E445,Clycerolester,,GROEN,Emulgatoren
Synthetisch,Zout,E450a,Dinatriumdiwaterstofdifosfaat,,ROOD,Emulgatoren
Synthetisch,Zout,E450a,Trinatriumdifosfaat,,ROOD,Emulgatoren
Synthetisch,Zout,E450a,Tetranatriumdifosfaat,,ROOD,Emulgatoren
